"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout_in_arena","haunches_in_arena","time_to_emerge_s","arena_entry","arena_entry_01","remaining_bait_g","bait_eaten_g","id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","sex","morph","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_l_mm","pes_r_mm","head_length_mm","processing_time_min","moon_phase","start_time","finish_time","first_light","time_processtoassay","time_assaytolight"
"11",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_5",-0.160085221750118,"83712","Repeat assay",2,"G30","Quollympia",2024-02-16 02:30:06,"2024-02-16 02:31:15",69,"P","1",60,0,"GoorooyarrooB_5_83712",5,0,9,28,24,5,0,2,4,3,1,2.12,0,26.555,272.381,16.673,26.157,0,330.038,731.357,53.997,84.599,10,71,"M","Black","2024-02-15 00:18:00",2024-02-15 00:22:25,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.621,"1-2yrs",61.9,61.3,106.9,"3.0671296296296297E-3",-1.36174898372649,1899-12-31 22:30:00,1899-12-31 02:30:00,2024-02-16 06:10:00,1567.68333333333,0.165051319220499
"12",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_6",-0.160085221750118,"C5DDC","Repeat assay",2,"G30","Aquollpolis",2024-02-16 02:33:58,"2024-02-16 02:33:58",0,"E","0",60,0,"GoorooyarrooB_6_C5DDC",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2.2,0,0,1200,0,0,0,1,2,"M","Black","2024-02-16 00:31:00",2024-02-16 00:35:30,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.604,"1-2yrs",60.5,60.7,107.1,"3.1250000000000002E-3",-1.36174898372649,1899-12-31 22:30:00,1899-12-31 02:30:00,2024-02-16 06:10:00,118.466666666667,0.168717813947251
"13",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_7",-0.160085221750118,"5FA46","Repeat assay",2,"G79","Quollosseum",2024-02-16 03:08:30,"2024-02-16 03:09:40",70.0000000000006,"P","1",60,0,"GoorooyarrooB_7_5FA46",2,0,0,4,11,0,0,1,1,0,0,0.76,0,0,535.64,5.16,0,0,127.919,1072.08,0,0,2,17,"F","Black","2024-02-16 00:24:00",2024-02-16 00:32:08,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.218,"1-2yrs",53.9,54.7,92.8,"5.6481481481481478E-3",-1.36174898372649,1899-12-31 22:30:00,1899-12-31 02:30:00,2024-02-16 06:10:00,156.366666666667,0.201463404782718
"14",2024-01-24,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_1",1.30828267430269,"56861","Initial assay",1,"W55","Quollympia",2024-01-24 22:56:55,"2024-01-24 22:57:30",34.9999999999895,"E","0",10,50,"MulligansA_1_56861",48,1,104,100,157,51,0,17,32,39,24,228.183,0.64,251.909,109.316,139.043,364.016,0,289.223,219.09,374.281,314.897,112,461,"F","Black","2024-01-25 22:14:00",2024-01-25 22:23:39,"1. Quiet","1. Quiet","1. Quiet","Good",0.49,"<1yr",49,49.7,73,"6.7013888888888887E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1406.73333333333,-1.37979146541163
"15",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_12",1.51804951659595,"53527","Initial assay",1,"W75","Quollympia",2024-01-25 02:53:03,"2024-01-25 02:53:05",1.99999999999991,"E","0",48,12,"MulligansA_12_53527",36,1,50,69,121,14,0,11,20,20,10,77.919,1.32,152.747,133.237,107.81,74.156,0,525.989,193.5,262.661,217.27,61,291,"F","Black","2024-01-26 00:39:00",2024-01-26 00:48:03,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.91,"2-3yrs",55.6,55,89.6,"6.2847222222222219E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1315,-1.15588242537451
"16",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_13",1.51804951659595,"5CB85","Initial assay",1,"W75","Aquollpolis",2024-01-25 02:55:49,"2024-01-25 02:55:53",3.99999999999863,"E","0",60,0,"MulligansA_13_5CB85",11,1,105,111,109,43,0,18,30,21,9,5.68,68.2,206.788,210.098,68.888,342.432,0,317.462,395.891,310.5,176.031,78,380,"F","Black","2024-01-26 00:55:00",2024-01-26 01:02:00,"1. Quiet","1. Quiet","1. Quiet","Good",0.91,"1-2yrs",51.9,53.3,86.8,"4.8611111111111112E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1326.18333333333,-1.1532589851821
"17",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_14",1.30828267430269,"71872","Initial assay",1,"W64","Quollosseum",2024-01-25 03:52:03,"2024-01-25 03:52:03",0,"E","0",39,21,"MulligansA_14_71872",40,4,98,140,181,25,0,14,25,25,13,97.117,66.16,243.932,183.301,123.643,195.826,0,505.506,217.695,227.216,249.507,77,488,"F","Black","2024-01-26 00:06:00",2024-01-26 00:20:27,"1. Quiet","1. Quiet","1. Quiet","Good",0.51,"<1yr",49.6,50.3,78.3,"1.0034722222222223E-2",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1228.4,-1.0999367730784
"18",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_16",1.30828267430269,"67D6E","Initial assay",1,"W25","Aquollpolis",2024-01-25 03:58:42,"2024-01-25 03:58:48",5.99999999999854,"E","0",60,0,"MulligansA_16_67D6E",11,0,75,72,88,34,0,9,19,22,12,6.639,0,351.322,115.338,80.727,236.891,0,136.311,473.782,375.098,214.548,62,280,"F","Black","2024-01-26 00:39:00",2024-01-26 00:44:59,"1. Quiet","1. Quiet","1. Quiet","Good",0.96,"2-3yrs",53.3,52.7,88.4,"4.1550925925925922E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1246.28333333333,-1.09363103430265
"19",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_17",1.09851583200943,"53326","Initial assay",1,"W27","Quollosseum",2024-01-25 04:46:52,"2024-01-25 04:46:53",1.00000000000176,"E","0",39,21,"MulligansA_17_53326",3,1,7,10,20,1,0,2,2,1,1,3.36,9,40.519,29.755,21.397,17.319,0,1023.318,49.558,19.319,107.8,6,42,"F","Black","2024-01-26 00:58:00",2024-01-26 01:01:40,"1. Quiet","1. Quiet","1. Quiet","Good",0.91,"1-2yrs",52.7,52.95,89.3,"2.5462962962962965E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1214.8,-1.04795788878407
"20",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_19",1.30828267430269,"525C8","Initial assay",1,"W29","Aquollpolis",2024-01-25 04:52:46,"2024-01-25 04:53:21",34.9999999999991,"E","0",52,8,"MulligansA_19_525C8",24,0,3,41,85,0,0,5,6,6,4,64.88,0,5.759,104.271,97.586,0,0,831.516,238.914,60.874,68.676,21,153,"M","Fawn","2024-01-26 01:30:00",2024-01-26 01:37:33,"1. Quiet","1. Quiet","1. Quiet","Fair",0.59,"<1yr",48.6,48.7,74.8,"5.2430555555555555E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1244.78333333333,-1.04236332355446
"21",2024-01-24,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_2",1.30828267430269,"87DE0","Repeat",2,"W55","Aquollpolis",2024-01-24 23:05:41,"2024-01-24 23:05:41",0,"E","0",34,26,"MulligansA_2_87DE0",35,0,29,71,98,0,0,7,13,10,4,65.195,0,64.753,214.68,78.973,0,0,203.873,113.467,195.23,687.397,34,233,"M","Black","2024-01-25 22:38:00",2024-01-25 22:41:55,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.04,"1-2yrs",55,56.1,91.3,"2.7199074074074074E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1416.23333333333,-1.37147863685012
"22",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_20",1.30828267430269,"88B4C",NA,1,"W81","Quollosseum",2024-01-25 05:22:22,"2024-01-25 05:22:22",0,"E","0",60,0,"MulligansA_20_88B4C",11,1,85,52,82,30,0,6,12,16,10,11.16,1.48,215.77,81.809,77.1,156.7,0,109.354,112.588,157.264,820.751,44,261,"F","Black","2024-01-26 01:54:00",2024-01-26 01:59:06,"1. Quiet","1. Quiet","1. Quiet","Good",1.13,"1-2yrs",55.8,55.6,88.7,"3.5416666666666665E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1236.73333333333,-1.01429567426691
"23",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_5",1.30828267430269,"84B2F",NA,1,"W57","Quollympia",2024-01-25 00:32:27,"2024-01-25 00:32:27",0,"E","0",58,2,"MulligansA_5_84B2F",26,0,158,107,169,59,0,19,37,38,20,15.239,0,297.937,228.685,144.252,263.361,0,326.461,162.883,386.042,324.501,114,519,"F","Black","2024-01-25 22:53:00",2024-01-25 22:55:39,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.91,"1-2yrs",54.6,55.2,81.4,"1.8402777777777777E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1343.2,-1.28920375949035
"24",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_6",1.30828267430269,"61888","Initial assay",1,"W62","Aquollpolis",2024-01-25 00:35:17,"2024-01-25 00:35:17",0,"E","0",59,1,"MulligansA_6_61888",18,2,81,75,116,11,0,11,21,23,12,10.36,63,71.91,114.997,97.842,86.956,0,667.75,141.699,240.218,148.468,67,303,"F","Black","2024-01-25 23:12:00",2024-01-25 23:14:14,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.09,"2-3yrs",55.5,56.9,87.9,"1.5509259259259259E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1358.95,-1.28651710387161
"25",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_7",1.30828267430269,"5597A","Initial assay",1,"W19","Aquollpolis",2024-01-25 01:26:53,"2024-01-25 01:26:53",0,"E","0",48,12,"MulligansA_7_5597A",9,0,40,51,83,8,0,3,4,8,6,6.68,0,89.717,85.018,68.788,507.394,0,325.318,29.116,64.912,780.634,21,191,"F","Black","2024-01-25 23:35:00",2024-01-25 23:43:47,"1. Quiet","1. Quiet","1. Quiet","Good",0.33,"<1yr",44,43.8,77.3,"6.099537037037037E-3",1.01583440586775,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1336.9,-1.23758836389737
"26",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_10",-0.369852064043376,"56861","Repeat assay",2,"W55","Quollosseum",2024-02-21 02:34:56,"2024-02-21 02:35:02",5.99999999999974,"E","0",29,31,"MulligansB_10_56861",18,0,64,94,150,37,0,19,36,31,14,435.638,0,112.761,163.299,85.091,177.371,0,295.901,160.524,143.289,600.187,100,363,"F","Black","2024-02-21 01:03:00",2024-02-21 01:10:53,"1. Quiet","2. Fiesty","1. Quiet","Good",0.56,"1-2yrs",50.3,49.5,81.7,"5.4745370370370373E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,84.05,0.164893280654691
"27",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_11",-0.369852064043376,"525C8","Repeat assay",2,"W29","Quollympia",2024-02-21 02:37:48,"2024-02-21 02:38:50",61.9999999999997,"P","1",43,17,"MulligansB_11_525C8",15,0,3,23,34,0,0,1,1,3,2,63.76,0,15.04,112.438,23.479,0,0,283.479,29.839,738.718,147.958,7,75,"M","Fawn","2024-02-21 01:08:00",2024-02-21 01:08:00,"1. Quiet","1. Quiet","1. Quiet","Good",1.07,"1-2yrs",53.5,53,84.7,"5",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,89.8,0.167611543986593
"28",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_12",-0.369852064043376,"61888","Repeat assay",2,"W62","Aquollpolis",2024-02-21 02:41:38,"2024-02-21 02:42:11",32.9999999999992,"E","0",58,2,"MulligansB_12_61888",6,0,19,61,77,3,0,7,14,18,11,10.52,0,44.517,269.488,77.5,12.118,0,139.833,85.466,127.822,846.83,50,166,"F","Black","2024-02-21 00:15:00",2024-02-21 00:18:16,"1. Quiet","1. Quiet","1. Quiet","Good",1.095,"2-3yrs",54.5,56.7,91.1,"2.2685185185185187E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,143.366666666667,0.171246431000182
"29",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_13",-0.369852064043376,"84B2F","Repeat assay",2,"W57","Quollosseum",2024-02-21 03:18:57,"2024-02-21 03:20:12",74.9999999999997,"P","1",44,16,"MulligansB_13_84B2F",31,0,34,65,130,15,0,17,21,9,4,68.4,0,100.943,121.462,95.953,54.993,0,817.464,197.379,53.231,131.876,51,275,"F","Black","2024-02-21 00:48:00",2024-02-21 00:50:34,"1. Quiet","1. Quiet","1. Quiet","Good",0.825,"1-2yrs",51.8,53.6,84.7,"1.7824074074074075E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,148.383333333333,0.206631265884647
"30",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_16",-0.579618906336634,"5597A","Repeat assay",2,"W19","Quollosseum",2024-02-21 04:08:25,"2024-02-21 04:10:01",96.0000000000006,"P","1",38,22,"MulligansB_16_5597A",15,2,2,47,85,0,0,4,6,8,5,105.08,35.88,1.44,167.312,81.79,0,0,805.637,80.034,111.232,203.075,23,151,"F","Black","2024-02-21 02:40:00",2024-02-21 02:40:00,"1. Quiet","1. Quiet","1. Quiet","Good",0.66,"<1yr",47.2,46.6,75.9,"0",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,88.4166666666667,0.253537112216533
"31",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_17",-0.579618906336634,"67D6E","Repeat assay",2,"W27","Quollympia",2024-02-21 04:13:00,"2024-02-21 04:14:07",67.0000000000025,"P","1",59,1,"MulligansB_17_67D6E",3,1,7,10,20,1,0,2,2,1,1,3.36,9,40.519,29.755,21.397,17.319,0,1023.318,49.558,19.319,107.8,6,42,"F","Black","2024-02-20 23:30:00",2024-02-20 23:34:10,"1. Quiet","1. Quiet","1. Quiet","Good",1.16,"2-3yrs",52,52.5,94.5,"2.8935185185185184E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,278.833333333333,0.25788317277626
"32",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_18",-0.579618906336634,"53326","Repeat assay",2,"W27","Aquollpolis",2024-02-21 04:17:39,"2024-02-21 04:17:45",6.00000000000094,"E","0",60,0,"MulligansB_18_53326",5,4,74,55,98,35,0,11,21,23,12,5.08,71.88,156.965,67.929,86.787,122.063,0,614.79,157.5,180.057,247.508,67,271,"F","Black","2024-02-20 23:41:00",2024-02-20 23:45:46,"1. Quiet","1. Quiet","1. Quiet","Good",1.19,"1-2yrs",53.1,52,96.9,"3.3101851851851851E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,271.883333333333,0.26229244876231
"33",2024-02-20,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_3",-0.369852064043376,"53527","Repeat assay",2,"W75","Aquollpolis",2024-02-20 23:36:49,"2024-02-20 23:36:51",1.99999999999392,"E","0",60,0,"MulligansB_3_53527",12,0,17,27,43,13,0,3,6,9,6,13.719,0,57.267,90.268,48.55,53.036,0,166.397,67.954,146.431,819.195,24,112,"F","Black","2024-02-20 23:36:00",2024-02-20 23:39:05,"1. Quiet","1. Quiet","1. Quiet","Good",0.9,"1-2yrs",55.7,56.8,88.2,"2.1412037037037038E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,-2.26666666666667,-0.00400253462457503
"34",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_4",-0.369852064043376,"5CB85","Repeat assay",2,"W64","Quollosseum",2024-02-21 00:24:16,"2024-02-21 00:25:27",70.9999999999999,"P","1",60,0,"MulligansB_4_5CB85",9,0,11,39,50,4,0,6,8,6,3,2.52,0,31.676,248.303,31.633,16.36,0,971.595,53.672,57.154,117.557,23,113,"F","Black","2024-02-20 22:50:00",2024-02-20 22:52:51,"1. Quiet","1. Quiet","1. Quiet","Good",0.94,"1-2yrs",51.5,52.3,91.3,"1.9791666666666668E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,91.4166666666667,0.0409910450610309
"35",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_5",-0.369852064043376,"71872","Repeat assay",2,"W64","Quollympia",2024-02-21 00:28:26,"2024-02-21 00:29:29",63,"P","1",29,31,"MulligansB_5_71872",19,1,83,107,129,46,0,4,13,27,17,89.919,2,200.04,182.445,102.837,385.89,0,217.996,222.667,327.054,432.223,61,385,"F","Black","2024-02-20 22:45:00",2024-02-20 22:48:01,"1. Quiet","2. Fiesty","1. Quiet","Good",0.6,"1-2yrs",50.2,50.5,80.2,"2.0949074074074073E-3",0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,100.416666666667,0.0449420092062369
"36",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_6",-0.369852064043376,"88B4C","Initial assay",1,"W29","Aquollpolis",2024-02-21 00:32:54,"2024-02-21 00:33:58",63.9999999999999,"P","1",36,24,"MulligansB_6_88B4C",2,1,0,3,7,0,0,1,0,0,0,42,34.24,0,74.08,8.16,0,0,1200,0,0,0,1,13,"F","Black","2024-02-20 22:30:00",2024-02-20 22:30:00,"1. Quiet","1. Quiet","1. Quiet","Good",1.365,"1-2yrs",56.9,56.4,92.6,NA,0.459908622666701,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,122.9,0.0491774427698978
"37",2023-09-21,"Mulligans Flat","MFBehavAssaysSPRA","MulligansTrial_1",-2.2577536446827,"87DE0","Initial, trial",1,"W83","Quollosseum",2023-09-21 23:00:00,"2023-09-21 23:02:00",120,"P","1",5,55,"Mulligans_Sept_1_87DE0",48,0,18,94,109,0,0,7,13,15,9,144.957,0,168,311.262,79.939,0,0,172.073,188.307,372.425,467.152,44,269,"M","Black","2023-09-21 20:33:00",2023-09-21 20:40:00,"1. Quiet","1. Quiet","1. Quiet","Good",0.91,"1-2yrs",54,53.9,93,"4.8611111111111112E-3",-1.86163744798087,NA,NA,2023-09-22 05:29:00,140,0.00470539035145901
